name,name_kana_ruby,name_hiragana_ruby,youtube,jk
メリバ,メリバ,めりば,https://youtu.be/R8Xp6z5DGlo?si=opRuacbO4sJOB8Nt,app/assets/images/songs_jk/メリバ.jpg
idiot,イディオット,いでぃおっと,https://youtu.be/QgNwDNNFK1o?si=QiH8rKmOnsY4KHZz,app/assets/images/songs_jk/idiot.jpeg
君に金星,キミニキンセイ,きみにきんせい,https://youtu.be/LhSAdMJ6Gp0?si=RzspAA9MlMrF5jRN,app/assets/images/songs_jk/星巡り_君に金星_jk.jpg
バンド,バンド,ばんど,https://youtu.be/FKuWEq5xusE?si=_67V6HK7b9Xijm9w,app/assets/images/songs_jk/people.jpg
PEOPLE,ピープル,ぴーぷる,https://youtu.be/-1hbIieOZcg?si=-ZHSXEzoUzg8TC23,app/assets/images/songs_jk/people（se）.jpg
PEOPLE 2,ピープルツー,ぴーぷるつー,https://youtu.be/MMSAr4lSyCQ?si=6s5u2PgvFsc0Jxrh,app/assets/images/songs_jk/people.jpg
Intro -You mean the world to me-,イントロユーミーンザワールドトゥーミー,いんとろゆーみーんざわーるどとぅーみー,https://youtu.be/xaQ4j-r_H_Y?si=iLHOIBUA-TDCnBrA,app/assets/images/songs_jk/taishu_ongaku.jpg
Outro (Because I Love You),アウトロビコーズアイラブユー,あうとろびこーずあいらぶゆー,https://youtu.be/7xd-VHzTpPI?si=6u_Qd9FzRhkwM_Pd,app/assets/images/songs_jk/SSSE.jpg
Re:銃の部品,アールイージュウノブヒン,あーるいーじゅうのぶひん,https://youtu.be/WVcIjlJZZog?si=9wq44peRu8N8oDDS,app/assets/images/songs_jk/REgunparts.jpg
Re:Deadstock,アールイーデッドストック,あーるいーでっどすとっく,https://youtu.be/ggpjPZZdP08?si=ijVIZ3RRrXDDJ0eo,app/assets/images/songs_jk/REdeadstock.jpeg
